Ticker,Ticker_Name,Factsheet
ACDS46,ACDS46_中國信託雄鷹新興市場債券基金-累積型(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS46&b=58331&c=649
ACDS47,ACDS47_中國信託雄鷹新興市場債券基金-累積型(美元),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS47&b=58331&c=650
ACDS72,ACDS72_中國信託新興市場0-5年期美元政府債券ETF基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS72&b=58325&c=651
ACDS71,ACDS71_中國信託新興亞洲(不含中國)美元精選綜合債券ETF基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS71&b=58325&c=650
ACDS84,ACDS84_中國信託樂齡收益平衡基金-NB分配型(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS84&b=58342&c=653
ACDS85,ACDS85_中國信託樂齡收益平衡基金-NB分配型(美元),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS85&b=58342&c=654
ACDS37,ACDS37_中國信託樂齡收益平衡基金-分配型(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS37&b=58335&c=653
ACDS39,ACDS39_中國信託樂齡收益平衡基金-分配型(美元),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS39&b=58335&c=655
ACDS36,ACDS36_中國信託樂齡收益平衡基金-累積型(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS36&b=58334&c=651
ACDS38,ACDS38_中國信託樂齡收益平衡基金-累積型(美元),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS38&b=58335&c=654
BFZYTA,BFZYTA_元大投信,
ACYT148,ACYT148_元大10年期以上美元投資級公共事業電能債券ETF基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT148&b=58785&c=735
ACYT149,ACYT149_元大10年期以上美元投資級銀行債券ETF基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT149&b=58785&c=736
ACYT147,ACYT147_元大10年期以上美元投資級醫療保健債券ETF基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT147&b=58784&c=733
ACYT160,ACYT160_元大15年期以上新興市場主權債ETF基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT160&b=58781&c=725
ACYT140,ACYT140_元大20年期以上AAA至A級美元公司債券ETF基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT140&b=58787&c=729
ACYT135,ACYT135_元大20年期以上BBB級美元公司債券ETF基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT135&b=58789&c=735
ACYT139,ACYT139_元大MSCI中國A股國際通ETF基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT139&b=58788&c=738
AC0017,AC0017_元大二○○一基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=AC0017&b=58829&c=604
ACYT57,ACYT57_元大人民幣貨幣市場基金(人民幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT57&b=58813&c=678
ACYT58,ACYT58_元大人民幣貨幣市場基金(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT58&b=58813&c=679
ACKY46,ACKY46_元大上證50基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACKY46&b=58814&c=668
ACYT62,ACYT62_元大大中華TMT基金(人民幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT62&b=58811&c=672
ACYT61,ACYT61_元大大中華TMT基金(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT61&b=58810&c=670
ACYT77,ACYT77_元大大中華價值指數基金(人民幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT77&b=58805&c=681
ACKY28,ACKY28_元大大中華價值指數基金(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACKY28&b=58819&c=673
ACYT76,ACYT76_元大大中華價值指數基金(美元),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT76&b=58805&c=680
ACYT98,ACYT98_元大大中華豐益平衡基金(人民幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT98&b=58800&c=679
ACYT97,ACYT97_元大大中華豐益平衡基金(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT97&b=58799&c=695
ACYT52,ACYT52_元大中國平衡基金(人民幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT52&b=58813&c=673
ACKY47,ACKY47_元大中國平衡基金(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACKY47&b=58815&c=670
ACYT159,ACYT159_元大中國政策性金融債5年期以上債券ETF基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT159&b=58781&c=733
ACYT137,ACYT137_元大中國國債及政策性金融債3至5年期債券ETF基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT137&b=58790&c=729
ACYT55,ACYT55_元大中國機會債券基金A不配息(人民幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT55&b=58812&c=675
ACYT53,ACYT53_元大中國機會債券基金A不配息(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT53&b=58812&c=673
ACYT56,ACYT56_元大中國機會債券基金B配息(人民幣)(基金之配息來源可能為本金),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT56&b=58812&c=676
ACKY35,ACKY35_元大巴西指數基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACKY35&b=58816&c=668
ACYT90,ACYT90_元大日經225基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT90&b=58802&c=673
AC0054,AC0054_元大台商收成基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=AC0054&b=57935&c=602
ACYT60,ACYT60_元大台灣50單日反向1倍基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT60&b=58811&c=670
ACYT59,ACYT59_元大台灣50單日正向2倍基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT59&b=58811&c=678
AC0051,AC0051_元大台灣中型100基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=AC0051&b=58823&c=596
ACKY17,ACKY17_元大台灣加權股價指數基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACKY17&b=58825&c=668
ACYT151,ACYT151_元大台灣卓越50ETF連結基金A不配息(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT151&b=58782&c=726
ACYT152,ACYT152_元大台灣卓越50ETF連結基金B配息(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT152&b=58782&c=727
AC0050,AC0050_元大台灣卓越50基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=AC0050&b=57812&c=592
AC0055,AC0055_元大台灣金融基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=AC0055&b=58821&c=598
ACYT153,ACYT153_元大台灣高股息ETF連結基金A不配息(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT153&b=58783&c=729
ACYT154,ACYT154_元大台灣高股息ETF連結基金B配息(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT154&b=58783&c=730
ACYT118,ACYT118_元大台灣高股息低波動ETF基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT118&b=58793&c=731
AC0056,AC0056_元大台灣高股息基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=AC0056&b=57499&c=609
ACYT161,ACYT161_元大台灣高股息優質龍頭基金A不配息,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT161&b=58780&c=725
ACYT162,ACYT162_元大台灣高股息優質龍頭基金B配息,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT162&b=58684&c=729
AC0053,AC0053_元大台灣電子科技基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=AC0053&b=58821&c=596
ACKY23,ACKY23_元大全球ETF成長組合基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACKY23&b=58822&c=662
ACKY18,ACKY18_元大全球ETF穩健組合基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACKY18&b=58824&c=668
ACYT146,ACYT146_元大全球人工智慧ETF基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT146&b=58785&c=733
ACYT75,ACYT75_元大全球不動產證券化基金A不配息(人民幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT75&b=58805&c=679
ACKY1901,ACKY1901_元大全球不動產證券化基金A不配息(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACKY1901&b=61562&c=759
ACYT74,ACYT74_元大全球不動產證券化基金A不配息(美元),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT74&b=58804&c=677
ACKY19,ACKY19_元大全球不動產證券化基金B配息(台幣)(基金之配息來源可能為本金),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACKY19&b=58824&c=669
ACYT32,ACYT32_元大全球公用能源效率基金-不配息,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT32&b=58820&c=669
ACYT33,ACYT33_元大全球公用能源效率基金-配息(基金之配息來源可能為本金),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT33&b=58820&c=670
ACYT158,ACYT158_元大全球未來通訊ETF基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT158&b=58781&c=732
ACYT163,ACYT163_元大全球未來關鍵科技ETF基金,
ACYT30,ACYT30_元大全球地產建設入息基金-不配息,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT30&b=58822&c=669
ACYT31,ACYT31_元大全球地產建設入息基金-配息(基金之配息來源可能為本金),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT31&b=58822&c=670
ACYT66,ACYT66_元大全球股票入息基金A不配息(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT66&b=58808&c=682
ACYT67,ACYT67_元大全球股票入息基金B配息(台幣)(基金之配息來源可能為本金),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT67&b=58808&c=683
ACYT68,ACYT68_元大全球股票入息基金B配息(美元)(基金之配息來源可能為本金),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT68&b=58809&c=685
ACKY22,ACKY22_元大全球新興市場精選組合基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACKY22&b=58823&c=662
ACYT38,ACYT38_元大全球農業商機基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT38&b=58819&c=683
ACKY37,ACKY37_元大印尼指數基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACKY37&b=58817&c=671
